Nama Hakim,Terdakwa,Jumlah Perkara
KADEK DWI KRISNA ANANDA,3,3
FARRAH YUZESTA AULIA,3,2
KADARISMAN AL RISKANDAR,3,3
FANDI ABDILLAH,3,3
HERA KARTININGSIH,3,3
EVELYNE NAPITUPULU,3,2
JUSDI PURMAWAN,3,1
ERVEN LANGGENG KASEH,3,3
ERNILA WIDIKARTIKAWATI,3,3
SUBRONTO,3,3
MUHAMMAD IKHSAN,3,3
EKO SUPRIYANTO,3,3
EDY ALEX SERAYOX,3,2
EDWIN YUDHI PURWANTO,3,3
EDUART M.P. SIHALOHO,3,3
EDISON M.,3,3
EDI SUBAGIYO,3,3
EDI SANJAYA LASE,3,2
EDI RAHMAD,3,1
SINTA GABERIA PASARIBU,3,3
SIH YULIARTI,3,2
MONITA HONEISTY BR SITORUS,3,3
MOHAMMAD SOLIHIN,3,3
DIDIMUS HARTANTO DENDOT,3,2
MOHAMMAD HASANUDDIN HEFNI,3,2
DIAN TRIASTUTY,3,2
IKA RATNA UTAMI,3,1
DEWA KETUT KARTANA,3,3
DENI ALBAR,3,3
IIN FATIMAH,3,2
DWI HATMODJO,3,2
DAIMON DONNY SIAHAYA,3,2
DARMINTO HUTASOIT.,3,1
HENDRA HUTABARAT,3,3
IDA MARYAM HASIBUAN,3,3
CAKRA TONA PARHUSIP,3,1
ROSIHAN JUHRIAH RANGKUTI,3,2
JOHAN WAHYU HIDAYAT,3,3
RONNY WIDODO,3,2
MANGULUANG,3,1
ADITIYA DENI PRASETYA,3,1
RIZQA YUNIA,3,1
MAULIA MARTWENTY INE,3,3
ENDRA HERMAWAN,3,3
ASRI,3,3
ALDO ADRIAN HUTAPEA,3,3
CATUR PRASETYO,3,2
RISBARITA SIMARANGKIR,3,2
MASLIKAN,3,2
CATYAWI AVESTA SASONGKO PUTRO,3,3
ARI WIDODO,3,2
GDE PUTU OKA YOGA BHARATA,3,3
RINA LESTARI BR. SEMBIRING,3,3
I WAYAN SUARTA,3,2
PANJI ANSWINARTHA,3,3
